Name,pKa,Center,Index,Smiles,Error
439190,8.2,N,2,NC1=[NH+]c2c(F)cc(Cl)cc2[C@H]2CCC[C@@H]12,0
465372,8.5,N,2,NC1=[NH+]c2c(F)cccc2[C@H]2CCC[C@@H]12,0
461531,6.6,N,2,NC1=[NH+]c2c(F)cccc2[C@H]2CCC[C@@]12F,0
445846,9.4,N,2,NC1=[NH+]c2ccc(Cl)cc2[C@H]2CCC[C@@H]12,0
440421,7.6,N,2,NC1=[NH+]c2ccc(Cl)cc2[C@H]2CCC[C@@]12F,0
1983,8.15,N,2,NC1=[NH+]c2ccccc2C1,0
440415,9.7,N,2,NC1=[NH+]c2ccccc2[C@H]2CCC[C@@H]12,0
956274,8.46,N,0,[NH3+]C1NC=C[NH]1,0
2572874,5.7,N,0,[NH3+]CC(F)(F)F,0
2572869,8.7,N,0,[NH3+]CCC(F)(F)F,0
6771,8.26,N,0,[NH3+]NC(=O)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,0
1826,3.27,N,0,[NH3+]NC(=O)c1cccnc1,0
4305,7.2,N,1,N[NH2+]CCCc1ccccc1,0
7539,7.12,N,0,[NH3+]NCCO,0
4349,6.8,N,0,[NH3+]NCCOc1ccccc1,0
14606475,4.766667,O,2,NP(O)(=O)N(CCCl)CCCl,0
481,6.53,N,0,[NH2]S(=O)(=O)C(F)(F)Br,0
479,6.5,N,0,[NH2]S(=O)(=O)C(F)(F)Cl,0
6208550,8.015,N,0,[NH2]S(=O)(=O)C(F)(F)F,0
1271864,6.7,N,0,[NH2]S(=O)(=O)C1=NN2CCS(=O)(=O)N=C2S1,0
16560806,10.04,N,0,[NH2]S(=O)(=O)CCc1ccccc1,0
282255,8.73,N,0,[NH2]S(=O)(=O)Oc1ccc(C(=O)OC2CCCC2)cc1,0
282259,8.81,N,0,[NH2]S(=O)(=O)Oc1ccc(C(=O)OC2CCCCC2)cc1,0
278661,8.09,N,0,[NH2]S(=O)(=O)Oc1ccc(C(=O)OC2CCCCCCC2)cc1,0
271317,8.27,N,0,[NH2]S(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,0
882139,7.633333,N,0,[NH2]S(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0
302092,8.45,N,0,[NH2]S(=O)(=O)c1cc2c(s1)C(=O)CCS2,0
302097,9,N,0,[NH2]S(=O)(=O)c1cc2c(s1)C(O)CCS2,0
291868,8.34,N,0,[NH2]S(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O,0
272715,8.82,N,0,[NH2]S(=O)(=O)c1cc2c(s1)C(O)CCS2=O,0
288301,8.52,N,0,[NH2]S(=O)(=O)c1cc2c(s1)CC(O)CS2(=O)=O,0
279963,8.35,N,0,[NH2]S(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2,0
275067,7.92,N,0,[NH2]S(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O,0
295706,8.275,N,0,[NH2]S(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2O,0
288306,8.3,N,0,[NH2]S(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@@H]2O,0
303305,8.68,N,0,[NH2]S(=O)(=O)c1cc2c(s1)S(=O)CCC2O,0
625484,9.62,N,0,[NH2]S(=O)(=O)c1cc2c(s1)SC(CCO)CN2,0
294527,8.6,N,0,[NH2]S(=O)(=O)c1cc2c(s1)SCCC2=O,0
294532,9.4,N,0,[NH2]S(=O)(=O)c1cc2c(s1)SCCC2O,0
216069,10.28,N,0,[NH2]S(=O)(=O)c1ccc(CCCCCO)cc1,0
191256,10.32,N,0,[NH2]S(=O)(=O)c1ccc(CCCCO)cc1,0
205463,10.23,N,0,[NH2]S(=O)(=O)c1ccc(CCCO)cc1,0
830,8.94,N,0,[NH2]S(=O)(=O)c1ccc(Cl)c(Cl)c1,0
4496,9.34,N,0,[NH2]S(=O)(=O)c1ccc(F)cc1,0
214845,9.35,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CC(O)CO)cc1,0
194746,9.18,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCCCO)c(F)c1,0
199372,9.6,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCCCO)cc1,0
205449,9.02,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCCO)c(F)c1,0
206730,8.98,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCCO)cc1,0
206741,8.32,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCCO)s1,0
186435,9,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCO)c(F)c1,0
220848,8.65,N,0,[NH2]S(=O)(=O)c1ccc(S(=O)(=O)CCO)s1,0
203087,9.25,N,0,[NH2]S(=O)(=O)c1ccc(SCCCCCO)cc1,0
212502,9.82,N,0,[NH2]S(=O)(=O)c1ccc(SCCCCO)c(F)c1,0
199368,10.17,N,0,[NH2]S(=O)(=O)c1ccc(SCCCCO)cc1,0
220844,9.45,N,0,[NH2]S(=O)(=O)c1ccc(SCCCO)c(Cl)c1,0
191250,9.64,N,0,[NH2]S(=O)(=O)c1ccc(SCCCO)c(F)c1,0
209034,10.23,N,0,[NH2]S(=O)(=O)c1ccc(SCCCO)cc1,0
212511,9.32,N,0,[NH2]S(=O)(=O)c1ccc(SCCCO)s1,0
205445,9.27,N,0,[NH2]S(=O)(=O)c1ccc(SCCO)cc1,0
205469,9.46,N,0,[NH2]S(=O)(=O)c1ccc(SCCO)s1,0
2209,8.98,N,0,[NH2]S(=O)(=O)c1cccc(C(F)(F)F)c1,0
4493,9.04,N,0,[NH2]S(=O)(=O)c1cccc(Cl)c1,0
3332,7.8,N,0,[NH2]S(=O)(=O)c1nc2ccccc2s1,0
2944,8.25,N,0,[NH2]S(=O)(=O)c1nccs1,0
1273030,7.1,N,0,[NH2]S(=O)(=O)c1nn2c(=O)n(CCCl)c(=O)nc2s1,0
1149695,7.12,N,0,[NH2]S(=O)(=O)c1nn2cc(c3ccccc3)[nH+]c2s1,0
18198263,9.2,N,2,Nc1[nH+]cc2n1CC(Cc1cccc3c1OCO3)CC2,0
5795,3.55,N,2,Nc1[nH]c(=O)[n+]([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1CO,0
7138,7.11,N,5,Nc1[nH]c(=S)[nH]c(=O)c1C1=CCCCC1,0
2857,2.21,N,4,Nc1[nH]c[nH+]c(=S)c1N,0
5580,2.4,N,8,Nc1c2c(nc[n+]1[O-])[nH+]cn2Cc1ccccc1,0
14698038,9.795,N,8,Nc1c2ccccc2[nH+]c2ccccc12,0
1197991,4.245,N,8,Nc1n[nH]c(c2cc[nH+]c(N)c2)n1,0
13433294,9.5,N,15,Nc1cc(/C=C/c2c[nH]c3ccccc23)[nH+]c2ccccc12,0
2552,6.73,N,13,Nc1cc(N2CCOCC2)nc(N)[nH+]1,0
873180,9.4,N,14,Nc1cc(N2CCc3ccccc3C2)[nH+]c2c1CCC2,0
192736,6.97,N,15,Nc1cc(NCc2ccccc2)nc(N)[nH+]1,0
6282,7.75,N,11,Nc1cc(O)n(CCCC[C@H]([NH3+])C(=O)[O-])c1O,0
217299,9.5,N,5,Nc1cc(S([NH2])(=O)=O)ccc1S(=O)(=O)CCO,0
4016,3.66,N,10,Nc1cc2ccccc2n[nH+]1,0
892688,8.5,N,4,Nc1cc[nH+]c(N2CCc3ccccc3C2)c1,0
7126,2.82,N,0,[NH3+]c1ccc(/N=N/c2ccccc2)cc1,0
14694527,4.13,O,6,Nc1ccc(C(O)=O)c(F)c1,0
14694562,4.275,O,6,Nc1ccc(C(O)=O)cc1Br,0
14694555,4.34,O,6,Nc1ccc(C(O)=O)cc1C(=O)c1ccccc1,0
14694546,4.35,O,6,Nc1ccc(C(O)=O)cc1Cl,0
14694548,4.34,O,6,Nc1ccc(C(O)=O)cc1I,0
15055875,6.2,N,9,Nc1ccc(C(=O)[O-])c[nH+]1,0
14693916,2.24,N,0,[NH3+]c1ccc(C(=O)c2ccccc2)cc1,0
2556755,2.57,N,0,[NH3+]c1ccc(C(F)(F)F)cc1,0
870583,5.8,N,15,Nc1ccc(N2CCc3ccccc3C2)[nH+]c1,0
5184,6.5,N,8,Nc1ccc(S(=O)(=O)[NH]c2ncco2)cc1,0
6209,6.95,N,8,Nc1ccc(S(=O)(=O)[NH]c2nccs2)c(Cl)c1,0
5240,5.85,N,8,Nc1ccc(S(=O)(=O)[NH]c2nccs2)cc1/N=N/c1ccccc1,0
931795,3.6,O,13,Nc1ccc(S(=O)(=O)c2ccc(C(O)=O)cc2)cc1,0
4017,4.85,N,0,[NH3+]c1ccc2ccnnc2c1,0
7218,4.52,N,0,[NH3+]c1ccc2nc3ccccc3nc2c1,0
4010,2.95,N,0,[NH3+]c1ccc2nccnc2c1,0
4018,5.04,N,6,Nc1ccc2n[nH+]ccc2c1,0
2556756,3.49,N,0,[NH3+]c1cccc(C(F)(F)F)c1,0
3262804,6.86,N,32,Nc1cccc(Cn2c(c3ccc(Nc4cncnc4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262796,6.86,N,32,Nc1cccc(Cn2c(c3ccc(Oc4ccccc4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262802,6.86,N,32,Nc1cccc(Cn2c(c3ccc(Oc4cccnn4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262803,6.86,N,31,Nc1cccc(Cn2c(c3ccc(Oc4cccs4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262801,6.86,N,32,Nc1cccc(Cn2c(c3ccc(Oc4cnccn4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262800,6.86,N,32,Nc1cccc(Cn2c(c3ccc(Oc4cncnc4)cc3)ccc2c2ccccc2Cl)[nH+]1,0
3262795,6.86,N,31,Nc1cccc(Cn2c(c3ccccc3)ccc2c2ccc(C(=O)NC3CCC3)cc2)[nH+]1,0
3262782,6.86,N,24,Nc1cccc(Cn2c(c3ccccc3)ccc2c2ccccc2)[nH+]1,0
894893,6,N,16,Nc1cccc(N2CCc3ccccc3C2)[nH+]1,0
2080,3.29,N,0,[NH3+]c1cccc2[nH]ncc12,0
4028,2.81,N,7,Nc1cccc2c[nH+]cnc12,0
4009,2.62,N,6,Nc1cccc2[nH+]ccnc12,0
4022,2.7,N,7,Nc1cccc2n[nH+]ccc12,0
1720,3.475,O,8,Nc1ccccc1C(O)=O,0
891554,5,N,5,Nc1ccc[nH+]c1N1CCc2ccccc2C1,0
412353,4.22,N,15,Nc1ccn(C2CC(F)C(CO)O2)c(=O)[nH+]1,0
422152,4.42,N,14,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)[nH+]1,0
7323,4.11,N,4,Nc1cc[nH+][nH]1,0
14675617,5.705,N,4,Nc1cc[nH+]cn1,0
1196677,3.56,N,8,Nc1n[nH]c(c2cc[nH+]cc2)n1,0
203439,3.33,N,15,Nc1[nH]c(NCc2ccccc2)cc(=S)[nH+]1,0
3148,9,N,5,Nc1nc(=S)[nH+]c(N)[nH]1,0
201070,3.56,N,15,Nc1nc(Cl)cc(NCc2ccccc2)[nH+]1,0
3155,6.95,N,5,Nc1nc(N)[nH]c(=O)n1,0
988,8.12,N,11,Nc1nc(N)c2ccccc2[nH+]1,0
6317,4.49,N,16,Nc1nc2c(cnn2c2ccccc2)c(N)[nH+]1,0
209374,4.77,N,22,Nc1nc(NCc2ccccc2)cc(Oc2ccc(Cl)cc2)[nH+]1,0
5570,9.68,N,17,Nc1nc2c(ncn2[C@@H]2C=C[C@H](CO)C2)c(=O)[nH]1,0
5348,9.41,N,19,Nc1nc2c(ncn2[C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c(=O)[nH]1,0
875852,6.5,N,2,Nc1[nH+]c2ccc(OC(F)(F)F)cc2s1,0
1075900,8.46,N,5,Nc1[nH]cc[nH+]1,0
3444,3.3,N,12,Nc1nc(c2csc(N)n2)cc[nH+]1,0
323,9.42,N,7,Nc1nccc(=O)[nH]1,0
5016,3.89,N,2,Nc1[nH+]cnc2c1cnn2c1ccccc1,0
5017,4.19,N,2,Nc1[nH+]cnc2c1ncn2C1CCCCC1,0
4037,5.79,N,4,Nc1nc[nH+]c2ccccc12,0
2069,10.15,N,8,Nc1ncnc2cn[nH]c12,0
6743,3.9,N,2,Nc1[nH+]cnc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c12,0
15446317,5.32,N,15,Nc1nc(N)c(c2cccc(Cl)c2Cl)n[nH+]1,0
1497,7.69,N,6,Nc1nnc(S([NH2])(=O)=O)s1,0
4015,6.6,N,2,Nc1[nH+]ncc2ccccc12,0
1258642,8.25,N,9,Nc1noc(C2=CCC[NH2+]C2)n1,0
172,2.1,N,0,[NH3+]n1ccccc1=O,0
3570,4.8,N,6,O=C(/C=C/c1c[nH+]c[nH]1)OCCCl,0
274138,9.2,N,9,O=C(C1CCN(c2cc[nH+]cc2)CC1)N1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,0
274145,6.7,N,9,O=C(C1CCN(c2cc[nH+]cc2F)CC1)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1,0
4620,6.3,O,4,O=C(C=C(O)c1ccccc1)C(F)(F)F,0
5742,9.54,O,4,O=C(C=C(O)c1ccccc1)Nc1ccccc1,0
2096,6.31,O,4,O=C(C=C(O)c1cccs1)C(F)(F)F,0
2115115,3.69,O,0,OC(=O)c1ccccc1OC(=O)CC(CO[N+](=O)[O-])O[N+](=O)[O-],0
2115114,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
2115113,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
2115112,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCCCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
2115117,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCCCCCO[N+](=O)[O-],0
2115119,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCCCO[N+](=O)[O-],0
14626923,5.12,N,25,O=C(CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1)[NH]S(=O)(=O)c1ccccc1,0
2115120,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCCO[N+](=O)[O-],0
2115121,3.69,O,0,OC(=O)c1ccccc1OC(=O)CCO[N+](=O)[O-],0
2348210,8.2,N,24,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(c2c[nH+]c3n2CCCC3)CC1,0
2348209,6.9,N,24,O=C(CCS(=O)(=O)c1ccc2cc(Cl)ccc2c1)N1CCC(c2c[nH+]c[nH]2)CC1,0
15034265,3.9,O,0,OC(=O)[C@@H](Cc1cc2ccc(F)cc2[nH]1)NC(=O)CCc1c(Cl)cccc1Cl,0
16560798,8.18,O,11,O=C(CCc1ccccc1)NO,0
5232756,6.2,N,7,O=C(CNC(=O)c1[nH]ccc(=O)c1[O-])NCc1ccccc1,0
