Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
C(C(F)F)[OH:3],0.3333333333333333,899_1,13.11,O,4,Moitessier/RBFmodel_Test,0.0
Nc1[nH+]c[nH+]c(N)c1N,0.24,3457,1.47,N,2,Moitessier,0.0
CC(c1cc(F)cc(NC(c2nnn[nH]2)=O)c1O)=O,0.25925925925925924,6452,2.36,N,14,Moitessier,0.0
NC(Nc1cccc(Cl)c1)=S,0.3888888888888889,4139,12.0,N,2,Moitessier,0.0
C/C(=C(CCO)\SSCCC(C)C)N(C=O)Cc1c[nH+]c(C)nc1N,0.189873417721519,158,5.58,N,19,Moitessier,0.0
CC(NBr)=O,0.38461538461538464,2057,8.1,N,2,Moitessier,0.0
Oc2ccc(/N=N/c1cc[nH+]cc1)cc2,0.34782608695652173,2833,4.65,N,10,Moitessier,0.0
[O-]c2cc1ccccc1cc2C3=[NH+]CCN3,0.34146341463414637,2645,10.85,N,12,Moitessier,0.0
CC(C)(C)NCCCCCC[NH2+]C(C)(C)C,0.2413793103448276,968,11.01,N,11,Moitessier,0.0
c2c(CN1CCNCC[NH2+]CC1)n[nH]c2CN3CCNCC[NH2+]CC3,0.3055555555555556,3580,10.54,N,22,Moitessier,0.0
c1c(c2ccccc2)nc[nH]1,0.2857142857142857,2769,13.42,N,10,Moitessier,0.0
CCc2c([O-])n(C1CC[NH+](C)CC1)nc2c3ccccc3,0.39215686274509803,4418,9.15,N,9,Moitessier,0.0
CC[NH+:7](CCCl)CCCl,0.27586206896551724,80_1,6.55,N,2,Moitessier/RBFmodel_Train,0.0
OCNc1nc(NCO)[nH+]c(NCO)n1,0.29411764705882354,207,4.0,N,9,Moitessier,0.0
[NH3+]CCC[n+]2ccc1ccccc1c2,0.3333333333333333,6732,8.97,N,0,Moitessier,0.0
CCCC[C@@H](CC)CO[NH+:15](C[C@@H](C)O)C[C@@H](C)O,0.3783783783783784,605_1,7.7,N,9,Moitessier/RBFmodel_Train,0.0
CC(C)(C)[NH2+:11]c1ccc(cc1)Br,0.32142857142857145,310_1,5.93,N,4,Moitessier/RBFmodel_Train,0.0
c1ccc(cc1)N(C(=O)c2cc(cc(c2)N(=O)=O)C(F)(F)F)[OH:20],0.3137254901960784,1323,7.85,O,22,Moitessier/RBFmodel_Test,0.0
CNC(=[NH2+])CCNS(=O)(=O)c1ccc(C)cc1,0.3902439024390244,1734,10.2,N,3,Moitessier,0.0
C#CC#CC=C=CC(CCC(O)=O)O,0.25806451612903225,3773,4.8,O,11,Moitessier,0.0
[NH3+]CCCCBr,0.3888888888888889,3889,10.0,N,0,Moitessier,0.0
O[B-](O)([OH2+])c1ccccc1,0.32,5918,8.8,O,3,Moitessier,0.0
[O-]c1cc(O)cc([O-])c1,0.3076923076923077,5875,13.5,O,4,Moitessier,0.0
O=C([O-])[C@H]3[C@@H]1CCC[NH+]1[C@@H](c2ccc(Br)cc2)[C@H]3C(=O)NCc4ccccc4,0.3448275862068966,185_2,9.3,N,8,Moitessier,0.0
CCC1=CCC[NH2+:7]1,0.19444444444444445,30_1,7.87,N,6,Moitessier/RBFmodel_Train,0.0
C=CC(=O)NC(C)(C)CC[NH+](CC)CC,0.3170731707317073,6947,10.09,N,10,Moitessier,0.0
C[C@H](C[NH2+:7]C(C)C)O,0.375,76_1,10.0,N,3,Moitessier/RBFmodel_Train,0.0
CCC[NH+](C)N,0.2916666666666667,4651,7.35,N,3,Moitessier,0.0
CC1=CCCC[NH2+:7]1,0.21052631578947367,29_1,9.53,N,6,Moitessier/RBFmodel_Train,0.0
CC(C(C(CNc1nc(N)[nH+]2)=Nc1c2O)=O)O,0.2558139534883721,1539,1.45,O,14,Moitessier,0.0
C1C[C@@H](C[NH2+:7]C1)C(=O)[O-],0.3333333333333333,129_1,10.64,N,4,Moitessier/RBFmodel_Train,0.0
Nc1ccc(Cl)cc1[NH3+],0.375,6624,4.3,N,8,Moitessier,0.0
CN/C(=[NH+]/C)N(C)C,0.22727272727272727,2148,13.9,N,3,Moitessier,0.0
c3ccc(CN(CC1=[NH+]CCN1)c2ccccc2)cc3,0.36,1888,10.06,N,8,Moitessier,0.0
CCCCC1=CCC[N@@H+:10]1C,0.3,155_1,11.84,N,8,Moitessier/RBFmodel_Train,0.0
COCC[NH+](CCOC)c1ccccc1,0.3076923076923077,425,4.11,N,4,Moitessier,0.0
Cc1[nH+]cc(CO)c(CO)c1O,0.22857142857142856,3186,4.98,N,2,Moitessier,0.0
Cc1cnc(C)c(O)c1C=O,0.2777777777777778,7367,8.08,O,7,Moitessier,0.0
Cc1ccccc1[SH:8],0.36,1381_1,6.64,S,7,Moitessier/RBFmodel_Train,0.0
CC2CC(/C=C/1CC(C)(C)CN1)=[NH+]C2(C)C,0.225,5275,12.1,N,12,Moitessier,0.0
CC(C)(C)C(c1cc(C(C)=O)n[nH]1)=O,0.2894736842105263,2870,9.7,N,12,Moitessier,0.0
CC(=O)OC(C)C[NH+](C)C,0.375,7301,8.315,N,7,Moitessier/RBFmodel_Train,0.005
[O-]c1ccc[nH+]c1,0.39285714285714285,3844,8.6,N,5,Moitessier,0.0
CCOC(=O)N1CCC2(CC1)Nc3cccc(c3C(=[NH+:16]2)N)F,0.25,683_1,9.1,N,19,Moitessier/RBFmodel_Train,0.0
c1cc(c(c2c1cc(cn2)Cl)C(=O)[OH:13])Cl,0.35135135135135137,1215_1,4.34,O,13,Moitessier/RBFmodel_Test,0.0
O=C(NNc1ccc(Br)cc1)c2cc[nH+]cc2,0.34782608695652173,2811,4.03,N,14,Moitessier,0.0
c1cc2c(c(c1)F)C(=[NH+:22]C3(N2)CCN(CC3)C(=O)c4ccc(cc4)C#N)N,0.2857142857142857,765_1,9.0,N,8,Moitessier/RBFmodel_Train,0.0
S=C1NC=Nc2c1[nH]nn2,0.34285714285714286,3742,4.6,N,2,Moitessier,0.0
O=C([O-])CSc3[nH]c2cc1CCCCc1cc2[nH+]3,0.2222222222222222,1275,5.2,N,17,Moitessier,0.0
CC1(CCC[NH2+:8]C1)C,0.3157894736842105,46_1,10.38,N,5,Moitessier/RBFmodel_Train,0.0
Cc1nnc(C)c(C)[nH+]1,0.2727272727272727,4587,2.85,N,8,Moitessier,0.0
[NH3+]CC(C(O)=O)O,0.3181818181818182,4038,2.78,O,4,Moitessier,0.0
NS(c1cc(C#N)ccc1)(=O)=O,0.3939393939393939,2015,8.84,N,0,Moitessier,0.0
O[n+]2ccc1ccccc1c2,0.3793103448275862,7126,1.01,O,0,Moitessier,0.0
CCCO[P@@](=O)(C)SCC[NH+:9](C)C,0.25,365_1,7.77,N,10,Moitessier/RBFmodel_Valid,0.0
Nc2[nH+]c1CCCCc1o2,0.19230769230769232,6416,5.75,N,2,Moitessier,0.0
Nc1[nH][nH+]c(N)c1/N=N/c2ccc(C(=O)O)cc2,0.3888888888888889,2036,3.4,N,3,Moitessier,0.0
[NH3+]Cc1nnn[n-]1,0.2222222222222222,1825,8.54,N,0,Moitessier,0.0
CCCCCP(CCCCC)(O)=O,0.36363636363636365,6617,3.23,O,11,Moitessier,0.0
O=C(C1)COC1=O,0.2,3672,3.76,C,2,Moitessier,0.0
NC2CC1CCCCC1CC2[NH3+],0.38095238095238093,6500,9.97,N,11,Moitessier,0.0
Cn(cn1)c(NC=N2)c1S2(=O)=O,0.2682926829268293,4812,4.45,N,5,Moitessier,0.0
CC(C)P(C(C)C)(O)=O,0.2777777777777778,80,3.56,O,7,Moitessier,0.0
C[NH+](C)CCCCC(=O)Oc1cccc([N+](=O)[O-])c1,0.3877551020408163,3926,10.07,N,1,Moitessier,0.0
CC(CCC1)n2nnnc2C1C(O)=O,0.27906976744186046,2275,3.3,O,12,Moitessier,0.0
O=C1CC(C(=O)O)C(C(=O)O)O1,0.27906976744186046,5857,2.19,O,10,Moitessier,0.0
CN(CC[NH3+])CC[NH+](C)C,0.2222222222222222,1830,9.23,N,4,Moitessier,0.0
Cc(cccc1)c1NCCS,0.37142857142857144,3548,9.6,S,10,Moitessier,0.0
CSc2[nH+]c1cncnc1n2C,0.35,4825,2.98,N,3,Moitessier,0.0
Cc(c(N)n1)c[n+]([C@H](C2)O[C@@H](CO)[C@@H]2O)c1O,0.3389830508474576,3962,4.4,O,16,Moitessier,0.0
Clc3[nH]c2cc1CCCCc1cc2[nH+]3,0.2564102564102564,7018,2.64,N,13,Moitessier,0.0
CSC(NCC(O)=O)=S,0.30434782608695654,2330,3.19,O,6,Moitessier,0.0
CC[NH2+]/C(=C/C(=O)c1cccc(S(=O)(=O)[O-])c1)n2cc[nH+]c2,0.23333333333333334,2273,4.5,N,20,Moitessier,0.0
CC(C)(C)C([N+]([O-])=O)[N+]([O-])=O,0.36363636363636365,86,8.24,C,4,Moitessier,0.0
CN[C@H]1C(C)[C@@H]1[NH2+]C,0.2222222222222222,2021,9.03,N,6,Moitessier,0.0
C[n+]2c(N[NH3+])ccc1ccccc12,0.2926829268292683,771,2.66,N,4,Moitessier,0.0
Cc1ccc2c(c1)c4CCCC3=[NH+]CCn2c34,0.36363636363636365,5164,8.57,N,12,Moitessier,0.0
CCC(C)(C)[NH2+]C(C)(C)CC,0.375,1600,11.6,N,5,Moitessier,0.0
Cc1cccc(OC(CBr)(c2ccccc2)O)c1,0.3157894736842105,6907,11.21,O,16,Moitessier,0.0
O=CC1=CC(C=O)C(C=O)=C1,0.19444444444444445,7426,1.8,C,4,Moitessier,0.0
c2ccc(Oc1cccc[nH+]1)cc2,0.39285714285714285,7100,2.35,N,10,Moitessier,0.0
CC[NH2+]Cl,0.23529411764705882,5722,0.93,N,2,Moitessier,0.0
C2CC1CCC[NH+]1C2,0.22727272727272727,4968,11.74,N,6,Moitessier,0.0
OC[C@@H]([C@@H]([C@@H]1O)O)O[C@@H]1[n+](ccc(NO)n1)c1O,0.3064516129032258,1511,2.26,O,17,Moitessier,0.0
[O-][N+](=O)c1cnc(O)nc1[O-],0.34285714285714286,1513,11.3,O,7,Moitessier,0.0
Cc2ccc(N=c1ccc(=[NH2+])cc1)c(N)c2,0.2619047619047619,295,4.2,N,10,Moitessier,0.0
Cc1cc(NN=C(C#N)C#N)c(C)cc1,0.36363636363636365,1241,6.75,N,4,Moitessier,0.0
Cc1cc(cc(c1)[NH2+:18][C@H]2CCc3c2cccc3)C,0.27450980392156865,593_1,1.3,N,7,Moitessier/RBFmodel_Test,0.0
CCCc1cc(Cl)cc(Cl)c1O,0.3793103448275862,482,8.1,O,11,Moitessier,0.0
C=CCN(CC=C)CCC[NH+](CC=C)CC=C,0.3076923076923077,6885,8.8,N,10,Moitessier,0.0
Cn1ccc(nc1=O)[OH:9],0.30303030303030304,974_1,9.71,O,8,Moitessier/RBFmodel_Train,0.0
CC[NH+:11](CC)CCP(=O)(OCC)OCC,0.3055555555555556,482_1,8.2,N,2,Moitessier/RBFmodel_Valid,0.0
NC(c1c(N)[nH]nc1CC(O)=O)=O,0.32432432432432434,5814,3.5,O,10,Moitessier,0.0
C[C@H]1C[C@@H]2CC[NH+]1C2,0.2692307692307692,6589,10.62,N,6,Moitessier,0.0
[O-]S(C(/C(/c1c2[nH]nc1)=N\O)=CC2=O)(=O)=O,0.3333333333333333,1285,8.6,O,10,Moitessier,0.0
CNC(CS(NC(N)=O)(=O)=O)=O,0.28125,1371,4.89,N,5,Moitessier,0.0
[NH3+]C12CCC(CC1)C2,0.2222222222222222,4631,10.19,N,0,Moitessier,0.0
OCC2OC1NC(=S)OC1C2O,0.2830188679245283,1583,9.48,N,5,Moitessier,0.0
CCNc1nc(S)[nH+]cc1,0.28205128205128205,4307,3.1,S,6,Moitessier,0.0
Cc1cnc3c(c1)c(C)cc2cc(C)c[nH+]c23,0.3125,3874,5.27,N,15,Moitessier,0.0
